YEAR,CONAME,SALES,ROEPER,ROA,MKTVAL,GVKEY,TICKER,EXEC_FULLNAME,TITLEANN,SALARY,BONUS,TDC1,RSTKGRNT,OPTION_AWARDS_BLK_VALUE,Majority_Independent,Nom,CG,Comp,Audit
2002,ANCHOR BANCORP WISCONSIN INC,242.358,16.915,1.401,536.721,025570,ABCW,Douglas J. Timmerman,president & CEO,516.625,156,1124.553,113.175,294.594,1,1,0,0,0
2003,ANCHOR BANCORP WISCONSIN INC,272.338,15.709,1.243,579.976,025570,ABCW,Douglas J. Timmerman,president & CEO,542.375,206,1238.59,118.35,329.895,1,1,0,0,0
2004,ANCHOR BANCORP WISCONSIN INC,334.843,15.558,1.193,639.1369999999999,025570,ABCW,Douglas J. Timmerman,president & CEO,566.25,198,938.2430000000001,0,123.573,1,0,0,0,0
2005,ANCHOR BANCORP WISCONSIN INC,305.526,13.919,1.045,661.364,025570,ABCW,Douglas J. Timmerman,chairman & president,585,218,859.456,0,0,1,0,0,0,0
2000,AIRBORNE INC,3275.95,1.656,.8179999999999999,468.341,001213,ABF,Robert S. Cline,chairman & CEO,650,0,1528.583,0,864.5839999999999,1,0,0,0,0
2001,AIRBORNE INC,3211.089,-2.332,-1.114,713.3819999999999,001213,ABF,Robert S. Cline,chairman & CEO,675,0,1105.126,0,417.57,1,0,0,0,0
2002,AIRBORNE INC,3343.736,1.769,.79,718.1130000000001,001213,ABF,Carl D. Donaway,chairman & CEO,652.5,1079.888,2576.809,0,838.098,1,0,0,0,0
2001,ABGENIX INC,34.064,-7.694,-7.263,2901.349,112178,ABGX,R. Scott Greer,CEO,395,158,6208.454,0,5655.454,1,0,0,0,1
2000,ABM INDUSTRIES INC,1807.557,13.857,6.827,637.6180000000001,001410,ABM,William W. Steele,president & CEO,632.942,256.691,889.633,0,0,1,0,0,0,0
2003,ABM INDUSTRIES INC,2262.476,8.196999999999999,4.573,768.648,001410,ABM,Henrik C. Slipsager,president & CEO,677.95,185.922,867.872,0,0,1,0,0,0,0
2004,ABM INDUSTRIES INC,2416.223,6.892,3.617,1006.79,001410,ABM,Henrik C. Slipsager,president & CEO,677.95,234.549,948.562,0,0,1,0,0,0,0
2005,ABM INDUSTRIES INC,2582.266,9.151,4.819,964.611,001410,ABM,Henrik C. Slipsager,president & CEO,677.95,338.975,2174.649,0,1117.271,1,0,0,0,0
2000,ABBOTT LABORATORIES,13745.916,32.505,18.229,74865.969,001078,ABT,"Miles D. White, M.B.A.",chairman & CEO,1390.961,1800,7973.216,0,4655.428,1,0,0,0,1
2001,ABBOTT LABORATORIES,16285.246,17.114,6.655,86616.322,001078,ABT,"Miles D. White, M.B.A.",chairman & CEO,1445.662,2100,16231.784,2089,10424.156,1,0,0,0,0
2002,ABBOTT LABORATORIES,17684.663,26.196,11.516,62501.64,001078,ABT,"Miles D. White, M.B.A.",chairman & CEO,1497.388,1250,24564.344,11468,10208.019,1,0,0,0,0
2003,ABBOTT LABORATORIES,19680.561,21.062,10.306,72852.25,001078,ABT,"Miles D. White, M.B.A.",chairman & CEO,1564.961,1750,9833.415000000001,0,6356.084,1,0,0,0,0
2004,ABBOTT LABORATORIES,19680.016,22.169,11.04,72652.337,001078,ABT,"Miles D. White, M.B.A.",chairman & CEO,1551.846,2700,11329.852,2401.3,4511.297,1,0,0,0,0
2005,ABBOTT LABORATORIES,22287.808,23.392,11.571,61164.92,001078,ABT,"Miles D. White, M.B.A.",chairman & CEO,1605.99,2650,14863.763,2960.32,7127.766,1,0,0,0,0
2000,ARCTIC CAT INC,530.648,15.834,10.556,326.899,022461,ACAT,Christopher A. Twomey,president & CEO,376.5,245.553,924.736,0,297.249,1,0,0,1,1
2001,ARCTIC CAT INC,556.079,15.76,10.658,470.986,022461,ACAT,Christopher A. Twomey,president & CEO,460,298.632,1136.708,0,372.976,1,0,0,0,0
2002,ARCTIC CAT INC,573.0700000000001,17.462,11.751,344.56,022461,ACAT,Christopher A. Twomey,president & CEO,474,236.052,1178.589,0,464.082,1,0,0,0,0
2003,ARCTIC CAT INC,649.617,16.329,10.633,533.4880000000001,022461,ACAT,Christopher A. Twomey,president & CEO,488,301.584,1493.414,0,697.83,0,0,0,0,0
2004,ARCTIC CAT INC,689.145,15.255,9.699999999999999,543.744,022461,ACAT,Christopher A. Twomey,president & CEO,502.64,165.871,1385.136,0,710.651,0,0,0,0,0
2005,ARCTIC CAT INC,732.794,12.54,7.63,465.946,022461,ACAT,Christopher A. Twomey,president & CEO,517.72,162.15,1368.38,0,682.4,0,0,0,0,0
2002,ACCREDO HEALTH INC,651.506,6.318,3.218,1209.975,119753,ACDO,David D. Stevens,chairman & CEO,343.636,350,698.568,0,0,1,0,0,0,0
2003,ACCREDO HEALTH INC,1371.396,5.761,3.229,1034.22,119753,ACDO,David D. Stevens,chairman & CEO,378.239,123.07,1946.229,0,1439.369,1,0,0,0,1
2004,ACCREDO HEALTH INC,1513.797,13.01,7.846,1888.335,119753,ACDO,David D. Stevens,chairman & CEO,433.138,240.903,1946.038,0,1230.093,1,0,0,0,0
2002,AXCELIS TECHNOLOGIES INC,309.705,-5.779,-3.906,551.174,137602,ACLS,Mary G. Puma,president & CEO,415.002,0,1676.217,0,1189.986,1,0,0,1,0
2003,AXCELIS TECHNOLOGIES INC,321.973,-32.237,-19.446,1016.145,137602,ACLS,Mary G. Puma,president & CEO,450,90,2132.749,0,1521.541,1,0,0,1,0
2004,AXCELIS TECHNOLOGIES INC,507.976,16.725,10.768,812.675,137602,ACLS,Mary G. Puma,president & CEO,486.25,675,2526.282,0,1353.382,1,0,0,0,0
2005,AXCELIS TECHNOLOGIES INC,372.54,-.905,-.583,479.499,137602,ACLS,Mary G. Puma,"chairman, president & CEO",500,220,1231.8,500,0,1,0,0,0,0
2000,AMCOL INTERNATIONAL CORP,304.065,2.448,.883,132.934,014182,ACO,Lawrence E. Washow,president & CEO,375,0,1169.163,0,55.024,1,0,0,1,0
2001,AMCOL INTERNATIONAL CORP,275.288,9.336,6.692,203.198,014182,ACO,Lawrence E. Washow,president & CEO,400,394.801,899.958,0,79.572,1,0,0,1,0
2004,AMCOL INTERNATIONAL CORP,459.105,14.223,9.382,589.842,014182,ACO,Lawrence E. Washow,president & CEO,469.8,704.7,1543.807,0,330.267,1,0,0,1,0
2005,AMCOL INTERNATIONAL CORP,535.924,14.583,9.847,610.8390000000001,014182,ACO,Lawrence E. Washow,president & CEO,500,750,1516.365,0,219.966,1,0,0,0,0
2000,AFFILIATED COMPUTER SERVICES,1962.542,15.366,6.599,1637.024,030697,ACS,Jeffrey A. Rich,president & CEO,425,885.7,1311.763,0,0,0,0,0,0,0
2001,AFFILIATED COMPUTER SERVICES,2063.559,15.165,7.099,3613.981,030697,ACS,Jeffrey A. Rich,president & CEO,500,1000,3011.783,0,1505.791,0,0,0,0,0
2002,AFFILIATED COMPUTER SERVICES,3062.918,10.957,6.746,6259.716,030697,ACS,Jeffrey A. Rich,CEO,525,1050,1578.02,0,0,0,0,0,0,0
2003,AFFILIATED COMPUTER SERVICES,3787.206,12.631,8.295999999999999,6075.596,030697,ACS,Jeffrey A. Rich,CEO,750,1500,8335.564,0,5888.945,1,0,0,0,1
2004,AFFILIATED COMPUTER SERVICES,4106.393,20.453,13.561,6850.065,030697,ACS,Jeffrey A. Rich,CEO,750,1334.235,2238.756,0,0,1,0,0,0,1
2005,AFFILIATED COMPUTER SERVICES,4351.159,14.654,8.574999999999999,6462.055,030697,ACS,Jeffrey A. Rich,CEO,750,790.308,10884.629,0,9178.527,1,0,0,0,0
2001,ADVO INC,1137.196,1726.786,15.82,691.254,013025,AD,Gary M. Mulloy,chairman & CEO,545.542,0,1906.475,162,1188.433,1,0,0,0,0
2002,ADVO INC,1130.113,115.629,12.725,634.333,013025,AD,Gary M. Mulloy,chairman & CEO,592.419,0,1711.164,0,1108.545,1,0,0,0,0
2003,ADVO INC,1163.113,55.123,13.984,830.768,013025,AD,Gary M. Mulloy,chairman & CEO,625.4690000000001,193.75,2325.92,615.3,878.601,1,0,0,0,0
2004,ADVO INC,1245.838,34.356,11.4,945.124,013025,AD,Gary M. Mulloy,chairman & CEO,527.9109999999999,0,6208.592,798.2,1090.608,1,0,0,0,0
2005,ADVO INC,1385.642,21.563,8.346,982.506,013025,AD,S. Scott Harding,CEO,724.68,250,4050.952,1914,1062.785,1,0,0,0,0
2000,ADOBE INC,1266.378,38.245,26.913,15231.738,012540,ADBE,John Edward Warnock,chairman & CEO,760.201,583.039,44413.566,6.274,32285.619,1,0,0,0,0
2001,ADOBE INC,1229.72,33.331,22.097,7609.119,012540,ADBE,Bruce R. Chizen,president & CEO,820.8339999999999,308.663,14816.772,0,13655.162,1,0,0,0,0
2002,ADOBE INC,1164.788,28.384,18.201,6977.112,012540,ADBE,Bruce R. Chizen,president & CEO,874.999,233.113,13653.013,0,12496.496,1,0,0,0,0
2003,ADOBE INC,1294.749,24.195,17.128,9667.036,012540,ADBE,Bruce R. Chizen,president & CEO,900,941.85,1849.774,0,0,1,1,1,0,0
2004,ADOBE INC,1666.581,31.641,22.996,14451.251,012540,ADBE,Bruce R. Chizen,CEO,912.5,1304.687,12291.897,0,10066.86,1,0,0,0,0
2005,ADOBE INC,1966.321,32.335,24.703,16113.514,012540,ADBE,Bruce R. Chizen,CEO,925,1063.936,8391.562,0,6393.736,1,1,1,0,0
2000,ANALOG DEVICES,2577.547,26.355,13.763,23244.325,001632,ADI,Jerald G. Fishman,president & CEO,859.092,1804.093,14823.172,0,11142.685,0,0,0,0,0
2001,ANALOG DEVICES,2276.915,12.535,7.296,13747.222,001632,ADI,Jerald G. Fishman,"CEO, president",860.146,317.63,22012.54,0,18490.734,0,0,0,0,0
2002,ANALOG DEVICES,1707.508,3.631,2.114,9800.706,001632,ADI,Jerald G. Fishman,president & CEO,850.374,0,27268.937,0,22538.878,1,0,0,0,0
2003,ANALOG DEVICES,2047.268,9.071999999999999,7.288,16282.808,001632,ADI,Jerald G. Fishman,president & CEO,930.9349999999999,40.728,3475.1,0,0,1,0,0,0,0
2004,ANALOG DEVICES,2633.8,15.021,12.092,15233.539,001632,ADI,Jerald G. Fishman,president & CEO,930.9349999999999,688.8920000000001,13894.597,0,10940.191,1,0,0,0,0
2005,ANALOG DEVICES,2388.808,11.236,9.050000000000001,12952.176,001632,ADI,Jerald G. Fishman,president & CEO,930.9349999999999,414.445,10327.48,0,7913.303,1,0,0,0,0
2000,ARCHER-DANIELS-MIDLAND CO,12876.817,4.925,2.086,5908.715,001722,ADM,G. Allen Andreas,chmn. & CEO,2373.972,0,4679.143,0,2227.252,1,0,1,0,0
2001,ARCHER-DANIELS-MIDLAND CO,20051.421,6.053,2.673,8248.383,001722,ADM,G. Allen Andreas,chairman & CEO,2398.48,0,2473.972,0,0,1,0,1,0,0
2002,ARCHER-DANIELS-MIDLAND CO,23453.561,7.566,3.315,8333.171,001722,ADM,G. Allen Andreas,chairman & CEO,2557.833,0,4062.901,0,1352.364,1,0,0,0,1
2003,ARCHER-DANIELS-MIDLAND CO,30708.033,6.382,2.626,8309.218999999999,001722,ADM,G. Allen Andreas,chairman & CEO,2795.833,0,6251.421,2314.761,976.918,1,0,0,0,0
2004,ARCHER-DANIELS-MIDLAND CO,36151.394,6.426,2.554,10873.323,001722,ADM,G. Allen Andreas,chairman & CEO,2901.667,0,6989.445,2749.219,1208.901,1,0,0,0,0
2005,ARCHER-DANIELS-MIDLAND CO,35943.81,12.384,5.616,14035.713,001722,ADM,G. Allen Andreas,chairman & CEO,2960.005,0,13279.135,8000,2202.723,1,0,0,0,0
2001,AUTOMATIC DATA PROCESSING,6853.652,19.671,5.169,31024.629,001891,ADP,Arthur Frederic Weinbach,chairman & CEO,721.25,450,4392.267,0,3213.928,1,0,0,0,0
2002,AUTOMATIC DATA PROCESSING,7004.263,21.524,6.023,27007.141,001891,ADP,Arthur Frederic Weinbach,chairman & CEO,735,173.5,5247.231,1452.776,2879.122,1,0,0,0,0
2003,AUTOMATIC DATA PROCESSING,7147.017,18.955,5.133,20249.262,001891,ADP,Arthur Frederic Weinbach,chairman & CEO,759.438,167.5,3983.888,844.24,2192.046,1,0,0,0,0
2004,AUTOMATIC DATA PROCESSING,7754.942,17.269,4.43,24728.8,001891,ADP,Arthur Frederic Weinbach,chairman & CEO,784.75,840,7567.65,1940.748,3984.542,1,0,0,0,0
2005,AUTOMATIC DATA PROCESSING,8499.1,18.248,3.822,24482.948,001891,ADP,Arthur Frederic Weinbach,chairman & CEO,816.25,990,5155.818,1417.149,1909.283,1,0,0,0,0
2005,ALLIANCE DATA SYSTEMS CORP,1552.437,15.063,4.742,2920.482,143974,ADS,J. Michael Parks,"chairman, president & CEO",800,1274.368,6014.854,2662.33,1070.539,1,0,0,0,0
2000,AUTODESK INC,936.324,20.282,11.542,2079.75,001878,ADSK,Carol A. Bartz,"chairman, president & CEO",783,900,5050.472,0,3312.93,1,0,0,0,0
2001,AUTODESK INC,947.491,17.062,10.008,2246.8,001878,ADSK,Carol A. Bartz,"chairman, president & CEO",841.667,550,8486.659,0,7031.247,1,0,0,0,1
2002,AUTODESK INC,824.9450000000001,5.605,3.61,1694.196,001878,ADSK,Carol A. Bartz,"chairman, president & CEO",765,0,4912.632,0,4092.656,1,0,0,0,0
2003,AUTODESK INC,951.643,19.355,11.829,2897.832,001878,ADSK,Carol A. Bartz,"chairman, president & CEO",680,1260.5,5601.977,0,3625.741,1,0,0,0,1
2004,AUTODESK INC,1234.267,34.179,19.393,6740.415,001878,ADSK,Carol A. Bartz,"chairman, president & CEO",863.333,2356,10973.133,0,7699.317,1,0,0,0,0
2005,AUTODESK INC,1523.2,41.565,24.17,9368.172,001878,ADSK,Carol A. Bartz,"chairman, president & CEO",941.667,1700,9051.624,0,6351.776,1,0,0,0,0
2000,ADTRAN INC,462.949,27.807,22.111,822.481,030576,ADTN,Mark C. Smith,chairman & CEO,300,97,401,0,0,0,0,0,0,0
2001,ADTRAN INC,387.081,3.96,3.316,1007.096,030576,ADTN,Mark C. Smith,chairman & CEO,308.288,0,313.388,0,0,0,0,0,0,0
2002,ADTRAN INC,345.725,5.693,4.754,1224.768,030576,ADTN,Mark C. Smith,chairman & CEO,284.865,0,290.865,0,0,0,0,0,0,0
2003,ADTRAN INC,396.676,12.457,10.358,2401.355,030576,ADTN,Mark C. Smith,chairman & CEO,332.308,312.832,651.14,0,0,0,0,0,0,0
2004,ADTRAN INC,454.517,16.103,13.419,1461.798,030576,ADTN,Mark C. Smith,chairman & CEO,332.8,43.264,382.214,0,0,1,0,0,1,1
2005,ADTRAN INC,513.215,18.656,15.499,2260.901,030576,ADTN,Mark C. Smith,chairman & CEO,256,0,267.283,0,0,1,1,1,0,0
2000,ADVENT SOFTWARE INC,134.931,12.297,10.49,1206.242,061557,ADVS,Peter M. Caswell,president & CEO,285.246,50,355.226,0,0,1,0,0,0,0
2001,ADVENT SOFTWARE INC,170.215,7.781,6.936,1689.059,061557,ADVS,Peter M. Caswell,president & CEO,236.746,95,352.345,0,0,1,0,0,0,1
2002,ADVENT SOFTWARE INC,159.436,-5.152,-4.445,445.674,061557,ADVS,Peter M. Caswell,president & CEO,240,64.726,324.713,0,0,1,0,0,0,1
2003,ADVENT SOFTWARE INC,137.159,-35.03,-28.278,571.321,061557,ADVS,Stephanie G. DiMarco,president & CEO,3.406,0,1279.601,0,1262.544,1,1,1,0,1
2004,ADVENT SOFTWARE INC,149.99,-6.114,-4.581,667.7089999999999,061557,ADVS,Stephanie G. DiMarco,president & CEO,360,227.003,3002.525,0,2401.391,1,1,1,0,1
2005,ADVENT SOFTWARE INC,168.701,5.841,4.15,895.23,061557,ADVS,Stephanie G. DiMarco,president & CEO,360,240,1848.388,0,1215.131,1,1,1,0,0
2000,AMEREN CORP,3855.849,14.299,4.705,6354.77,010860,AEE,Charles W. Mueller,"chairman, president & CEO",660,235.2,1509.454,0,534.833,1,0,0,0,0
2001,AMEREN CORP,4505.867,14.196,4.571,5821.453,010860,AEE,Charles W. Mueller,chairman & CEO,700,277.2,1718.842,594.991,0,1,0,0,0,0
2002,AMEREN CORP,3841,9.943,3.322,6385.692,010860,AEE,Charles W. Mueller,chairman & CEO,730,350.4,1837.975,620.5,0,1,0,0,0,0
2003,AMEREN CORP,4593,11.621,3.555,7470.446,010860,AEE,Charles W. Mueller,chairman & CEO; chairman-CILCORP and CILCO,730,688,2153.807,620.5,0,1,0,0,0,0
2004,AMEREN CORP,5160,9.138,3.04,9762.258,010860,AEE,Gary L. Rainwater,"chairman, president & CEO;chairman, president & CEO-CILCORP, UE & Ameren Sv",650,507,1762.397,552.5119999999999,0,1,0,0,0,0
2005,AMEREN CORP,6780,9.868,3.458,10467,010860,AEE,Gary L. Rainwater,"chairman, president & CEO;chairman, president & CEO-CILCORP, UE & Ameren Sv",800,986,2536.103,680.018,0,1,0,0,0,0
2000,ADVANCED ENERGY INDS INC,359.782,25.303,16.517,709.11,061562,AEIS,Douglas S. Schatz,"chairman, president & CEO",373.517,187.6,565.917,0,0,1,0,0,0,0
2001,ADVANCED ENERGY INDS INC,193.6,-14.639,-6.97,847.711,061562,AEIS,Douglas S. Schatz,"chairman, president & CEO",341,0,359,0,0,1,0,0,0,0
2002,ADVANCED ENERGY INDS INC,238.898,-24.02,-9.663,408.274,061562,AEIS,Douglas S. Schatz,"chairman, president & CEO",391,0,406,0,0,1,1,0,0,0
2003,ADVANCED ENERGY INDS INC,262.402,-29.138,-10.667,842.4829999999999,061562,AEIS,Douglas S. Schatz,"chairman, president & CEO",391,0,1521.589,0,1098.589,1,1,0,1,1
2004,ADVANCED ENERGY INDS INC,395.305,-8.792,-3.219,298.423,061562,AEIS,Douglas S. Schatz,"chairman, president & CEO",391,0,1514.766,0,1089.766,1,1,1,1,1
2005,ADVANCED ENERGY INDS INC,325.482,1.407,1.168,524.909,061562,AEIS,Douglas S. Schatz,"chairman, president & CEO",237,96,861.397,26,475.397,1,0,0,0,1
2000,AMERICAN ELECTRIC POWER CO,13694,3.75,.554,14960.12,001440,AEP,"E. Linn Draper, Jr.","chairman, president & CEO",850,485.775,5886.593,0,4444.119,1,0,0,0,0
2001,AMERICAN ELECTRIC POWER CO,61257,12.189,2.121,14026.89,001440,AEP,"E. Linn Draper, Jr.","chairman, president & CEO; chairman & CEO-service corp; chairman & CEO sub.",910,682.09,2025.738,0,0,1,0,0,0,0
2002,AMERICAN ELECTRIC POWER CO,14536,.297,.06,9260.361000000001,001440,AEP,"E. Linn Draper, Jr.","chairman, president & CEO; chairman & CEO-service corp; chairman & CEO sub.",1054.038,0,2788.771,0,1599.316,1,0,0,0,0
2003,AMERICAN ELECTRIC POWER CO,14545,6.629,1.421,12325.024,001440,AEP,"E. Linn Draper, Jr.","chairman, president & CEO; chairman & CEO-service corp; chairman & CEO sub.",1094.192,980.0309999999999,2137.652,0,0,1,0,0,0,0
2004,AMERICAN ELECTRIC POWER CO,14057,13.235,3.251,13872.796,001440,AEP,Michael G. Morris,"chairman & CEO; chairman, president & CEO-subsidiaries",1123.577,1250,13268.88,9228,875.958,1,0,0,0,0
2005,AMERICAN ELECTRIC POWER CO,12111,11.323,2.845,14601.74,001440,AEP,Michael G. Morris,"chairman, president & CEO; chairman, president & CEO-subsidiaries",1150,2250,4285.091,163.5,0,1,0,0,0,0
2000,AES CORP (THE),6691,13.469,2.088,25347.519,024216,AES,Dennis W. Bakke,president & CEO,0,0,6706.377,0,6694.244,1,0,0,0,0
2001,AES CORP (THE),9327,8.430999999999999,1.271,8715.449000000001,024216,AES,Dennis W. Bakke,president & CEO,0,0,8592.416999999999,0,8590.866,1,0,0,0,0
2003,AES CORP (THE),8415,52.093,1.124,5878.175,024216,AES,Paul T. Hanrahan,president & CEO,810,1352,3882.573,0,1629.213,1,0,0,0,0
2004,AES CORP (THE),9463,26.543,.892,8869.110000000001,024216,AES,Paul T. Hanrahan,president & CEO,840,1500,3764.108,137.96,1170.609,1,0,0,0,0
2005,AES CORP (THE),11086,38.326,2.147,10339.76,024216,AES,Paul T. Hanrahan,president & CEO,871,1551,7316.716,73.616,1177.735,1,0,0,0,0
2000,AETNA INC,26818.9,-1.258,-.269,5809.687,001177,AET,William H. Donaldson,chairman,1000,6000,24593.313,5600,11942.92,1,1,1,0,1
2001,AETNA INC,25170.6,-2.947,-.674,4728.424,001177,AET,John W. Rowe,"chairman, president & CEO",1000,1000,6667.488,0,3123.246,1,1,1,0,0
2002,AETNA INC,19878.7,5.633,.982,6190.246,001177,AET,John W. Rowe,chairman & CEO,1000,2500,14811.832,0,5884.827,1,0,0,0,0
2003,AETNA INC,17976.4,11.784,2.28,10310.613,001177,AET,John W. Rowe,chairman & CEO,1042.146,2200,17953.233,0,7315.01,1,0,0,0,0
2004,AETNA INC,19904.1,13.38,2.884,18419.587,001177,AET,John W. Rowe,chairman & CEO,1133.749,2500,13744.184,0,9733.369000000001,1,0,0,0,0
2005,AETNA INC,22491.9,16.175,3.684,26973.697,001177,AET,John W. Rowe,chairman & CEO,1100,2000,20565.407,0,12659.87,1,0,0,0,0
2002,ASTORIA FINANCIAL CORP,1373.669,15.62,1.117,2380.784,029246,AF,"George L. Engelke, Jr.","chairman, president & CEO",950,524.875,3931.047,0,2418.702,1,0,0,0,0
2003,ASTORIA FINANCIAL CORP,1176.852,13.773,.856,2953.568,029246,AF,"George L. Engelke, Jr.","chairman, president & CEO",975,0,3459.739,0,2444.897,1,0,0,0,0
2004,ASTORIA FINANCIAL CORP,1125.985,16.027,.9379999999999999,2974.767,029246,AF,"George L. Engelke, Jr.","chairman, president & CEO",1000,1050,5261.069,0,3169.088,1,0,0,0,0
2005,ASTORIA FINANCIAL CORP,1185.186,17.316,1.045,3128.866,029246,AF,"George L. Engelke, Jr.","chairman, president & CEO",1050,790.125,5001.644,870.6,2235.277,1,0,0,0,0
2000,ADVANCED FIBRE COMM INC,416.85,9.462999999999999,6.837,1456.795,063678,AFCI,John A. Schofield,president & CEO,420.5,341.402,4573.872,0,3602.284,1,0,0,0,0
2001,ADVANCED FIBRE COMM INC,327.569,19.738,14.426,1447.968,063678,AFCI,John A. Schofield,"chairman, president & CEO",403.846,0,3057.022,0,2467.638,1,1,0,0,1
2002,ADVANCED FIBRE COMM INC,344.063,3.465,2.58,1401.854,063678,AFCI,John A. Schofield,"chairman, president & CEO",420.231,417.883,2916.429,0,1897.847,1,0,0,0,1
2003,ADVANCED FIBRE COMM INC,333.457,2.711,2.027,1751.519,063678,AFCI,John A. Schofield,"chairman, president & CEO",451.731,495.789,2992.409,99.998,1941.891,1,0,1,0,1
2005,AFFYMETRIX INC,367.602,12.457,8.488,3169.12,062990,AFFX,Stephen P. A. Fodor,chairman & CEO,568.462,0,644.204,0,0,1,0,0,0,0
2000,AMERICAN FINANCIAL GROUP INC,3767.097,-3.033,-.286,1753.231,008431,AFG,Carl Henry Lindner,chairman & CEO,950.5,0,1048.5,0,0,0,0,0,0,0
2001,AMERICAN FINANCIAL GROUP INC,3923.632,-.32,-.028,1676.912,008431,AFG,Carl Henry Lindner,chairman & CEO,950,415.6,1439.1,0,0,0,0,0,0,0
2002,AMERICAN FINANCIAL GROUP INC,3751.084,7.243,.641,1593.514,008431,AFG,Carl Henry Lindner,chairman & CEO,990,950,2073.1,0,0,0,0,0,0,0
2003,AMERICAN FINANCIAL GROUP INC,3339.819,15.469,1.59,1843.944,008431,AFG,Carl Henry Lindner,chairman & CEO,990,425,1565.3,0,0,1,0,0,0,0
2004,AMERICAN FINANCIAL GROUP INC,3906.265,15.135,1.631,2310.428,008431,AFG,Carl Henry Lindner,chairman & CEO,990,0,1246.3,0,0,1,0,0,0,0
2005,AMERICAN FINANCIAL GROUP INC,4038.283,8.457000000000001,.911,2971.094,008431,AFG,"Carl Henry Lindner, III",co-CEO &co-president,990,1925,3845.724,0,436.224,0,0,0,0,0
2000,AFLAC INC,9720,14.636,1.845,19146.507,001449,AFL,Daniel Paul Amos,president & CEO,995,1626.825,10708.229,0,7909.207,1,0,0,0,0
